date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-07-21,109519.36379483149,2959.9505477739067,1838.2183333997377,524,211,290,184,169,124,35,69,2,0
2020-07-22,109515.11279242244,1833.96733099069,2599.194523875928,534,491,320,269,283,196,58,113,7,0
2020-07-23,109494.31417096578,2578.3959024192613,3069.509458940863,782,375,306,339,432,270,87,158,6,0
2020-07-24,109373.17247591604,2948.3677638911226,2024.8427922741967,647,288,204,175,179,141,39,73,2,0
2020-07-25,109542.19744753296,2193.8677638911226,1114.7209974024017,461,199,90,70,81,49,12,31,2,0
2020-07-26,110379.82498325246,1952.3485331218922,1094.5147036961082,481,195,65,67,84,42,8,28,4,0
2020-07-27,110994.3930784125,1709.0827988561578,2988.480612787017,634,689,447,250,264,210,67,101,7,0
2020-07-28,110318.08617357255,2312.1737079470668,2566.479795793553,640,330,347,260,289,223,67,123,5,0
2020-07-29,110277.07093539927,2525.4645576202697,2595.6216139753715,716,340,288,256,305,229,81,106,5,0
2020-07-30,110214.82842449872,2533.379103074815,2586.7644711182284,706,313,249,268,299,226,85,109,11,0
2020-07-31,110242.9430564553,2614.879103074815,2579.6775663563235,756,372,210,250,280,203,76,107,12,0
2020-08-01,110263.2195931738,2599.954103074815,1140.4275663563237,500,192,100,87,86,49,16,21,4,0
2020-08-02,110983.24612989229,1860.454103074815,1150.9275663563237,482,203,75,91,85,71,21,23,0,0
2020-08-03,111707.27266661078,1874.954103074815,2941.260899689657,719,698,363,224,273,191,88,110,18,0
2020-08-04,111226.96586999593,2460.954103074815,2774.260899689657,690,313,395,264,329,247,103,151,18,0
2020-08-05,111053.65907338109,2600.954103074815,2579.01923302299,769,332,250,224,308,232,97,103,25,0
2020-08-06,111263.31894343291,2788.679103074815,2839.3828693866267,835,403,283,292,349,238,98,135,23,0
2020-08-07,111128.43335893929,2704.497284892997,2615.2919602957177,738,415,231,261,322,207,70,94,13,0
2020-08-08,111316.54777444566,2803.4063758020875,1216.8086269623843,589,207,88,76,84,60,22,18,4,0
2020-08-09,112061.63718995203,1961.8980424687543,1155.126808780566,457,261,96,77,86,59,20,39,4,0
2020-08-10,112697.95387818567,1791.443497014209,2927.9268087805663,669,733,416,243,252,212,96,91,17,0
2020-08-11,112337.87056641931,2567.843497014209,3307.841094494852,738,363,427,277,318,257,124,134,23,0
